f1,gmean,bacc,auc,brier,ece,dataset,seed,IR,IR_actual,n_min,n_syn,method,H,n_channels,length,M,n_select,tau,clf,energy_syn,mmd_syn,disp_ratio,accept,secs,guard,guard_fired,guard_c,rho_before,rho_after
0.8079911209766926,0.8225261419995309,0.8315200145065507,0.946669537754809,0.12403009319117125,0.14127710477989816,ItalyPowerDemand,0,20,8.2,4,29,guide=gpf | walk=aligned | guard,0.645,1,24,1.5999999999999999,64,2.0,ridge,3.3528416145093143,0.23878345589230843,0.8709718582253498,0.453125,0.9,1.0,0.0,1.0,0.87,0.87
0.6384615384615384,0.6844327961268226,0.7252481980144159,0.9253989301418921,0.16606185077205488,0.20272108843537415,ItalyPowerDemand,0,20,8.2,4,29,guide=sig | walk=aligned,0.645,1,24,1.5999999999999999,64,2.0,rf,3.4118559883087496,0.21910027288523048,1.330544639095064,0.453125,0.2,0.0,,,,
0.8026905829596412,0.8182020803950849,0.8285790380343624,0.9518186076733608,0.12399380024962628,0.15278427376130965,ItalyPowerDemand,0,20,8.2,4,29,guide=sig | walk=aligned,0.645,1,24,1.5999999999999999,64,2.0,ridge,3.4118559883087496,0.21910027288523048,1.330544639095064,0.453125,0.2,0.0,,,,
0.6384615384615384,0.6844327961268226,0.7252481980144159,0.9253989301418921,0.16606185077205488,0.20272108843537415,ItalyPowerDemand,0,20,8.2,4,29,guide=sig | walk=aligned | guard,0.645,1,24,1.5999999999999999,64,2.0,rf,3.4118559883087496,0.21910027288523048,1.330544639095064,0.453125,0.9,1.0,0.0,1.0,1.33,1.33
0.8026905829596412,0.8182020803950849,0.8285790380343624,0.9518186076733608,0.12399380024962628,0.15278427376130965,ItalyPowerDemand,0,20,8.2,4,29,guide=sig | walk=aligned | guard,0.645,1,24,1.5999999999999999,64,2.0,ridge,3.4118559883087496,0.21910027288523048,1.330544639095064,0.453125,0.9,1.0,0.0,1.0,1.33,1.33
0.6243386243386243,0.6736454166641369,0.7232365474409538,0.9359785121719026,0.17831878846776805,0.21892128279883383,ItalyPowerDemand,1,5,4.7,7,26,none,0.645,1,24,2.1999999999999997,64,2.0,rf,,,,,,,,,,
0.8685344827586207,0.8759599657250938,0.8811596173897276,0.9731137706453904,0.09408339773704694,0.12728608478126288,ItalyPowerDemand,1,5,4.7,7,26,none,0.645,1,24,2.1999999999999997,64,2.0,ridge,,,,,,,,,,
0.6683544303797468,0.7082758314593539,0.7447130422956616,0.9272311377064538,0.16865935644098906,0.1944574020084224,ItalyPowerDemand,1,5,4.7,7,26,SMOTE-raw,0.645,1,24,2.1999999999999997,64,2.0,rf,2.9299560412599153,0.24533064443125696,0.2535316208989039,,,,,,,
0.8694736842105263,0.8761410801622045,0.8792782991069406,0.9596196563760824,0.09121028833075118,0.07953246612590546,ItalyPowerDemand,1,5,4.7,7,26,SMOTE-raw,0.645,1,24,2.1999999999999997,64,2.0,ridge,2.9299560412599153,0.24533064443125696,0.2535316208989039,,,,,,,
0.7019704433497537,0.7351750422912385,0.7642118863049095,0.919681309216193,0.16093496382680056,0.17421768707482993,ItalyPowerDemand,1,5,4.7,7,26,guide=gpf | walk=plain,0.645,1,24,2.1999999999999997,64,2.0,rf,2.6163234769753103,0.19249923252480305,0.9499554230834297,0.40625,0.0,0.0,,,,
0.8966942148760331,0.9008737466548465,0.9026531121084365,0.9736275443129788,0.07460393362435204,0.07853503659656465,ItalyPowerDemand,1,5,4.7,7,26,guide=gpf | walk=plain,0.645,1,24,2.1999999999999997,64,2.0,ridge,2.6163234769753103,0.19249923252480305,0.9499554230834297,0.40625,0.0,0.0,,,,
0.7019704433497537,0.7351750422912385,0.7642118863049095,0.919681309216193,0.16093496382680056,0.17421768707482993,ItalyPowerDemand,1,5,4.7,7,26,guide=gpf | walk=plain | guard,0.645,1,24,2.1999999999999997,64,2.0,rf,2.6163234769753103,0.19249923252480305,0.9499554230834297,0.40625,0.8,1.0,0.0,1.0,0.95,0.95
0.8966942148760331,0.9008737466548465,0.9026531121084365,0.9736275443129788,0.07460393362435204,0.07853503659656465,ItalyPowerDemand,1,5,4.7,7,26,guide=gpf | walk=plain | guard,0.645,1,24,2.1999999999999997,64,2.0,ridge,2.6163234769753103,0.19249923252480305,0.9499554230834297,0.40625,0.8,1.0,0.0,1.0,0.95,0.95
0.6881987577639752,0.7240610972500084,0.7554456231016818,0.9216532934403191,0.1629089407191448,0.17941367022999674,ItalyPowerDemand,1,5,4.7,7,26,guide=gpf | walk=aligned,0.645,1,24,2.1999999999999997,64,2.0,rf,2.727755305969227,0.21271446330504862,0.8751193042159217,0.40625,0.1,0.0,,,,
