dataset,seed,M,L_k,disp_walk,disp_filtered,accept,energy,f1,gmean
GunPoint,2,1.7,1.3073026835835393,1.246273580753553,0.22422096164240343,0.5555555555555556,3.733178927647584,0.8636363636363636,0.8717797887081347
GunPoint,2,2.0,1.9958847736625516,1.7349087311061209,0.24988503342877239,0.569620253164557,3.770281216573961,0.9010989010989011,0.9055385138137416
GunPoint,2,2.3,3.2369064364971187,2.4049640889387747,0.2956002185298134,0.5357142857142857,3.8033750395831376,0.8764044943820225,0.8831760866327847
GunPoint,2,2.6,5.845308394087244,3.4553111087865824,0.3842922805776018,0.5555555555555556,3.7568220401781893,0.8888888888888888,0.8944271909999159
ERing,0,0.5,0.25403485082304533,0.13737719497884426,0.08735605235901174,0.9112903225806451,3.7958813112755454,0.6842105263157895,0.7211102550927979
ERing,0,0.8,0.3713136458798354,0.1722653068324755,0.11719703840052931,0.8071428571428572,3.521047266828999,0.75,0.7745966692414834
ERing,0,1.1,0.5800286456921812,0.28813901984738177,0.1725129153234342,0.6174863387978142,3.339486115333825,0.717948717948718,0.7483314773547883
ERing,0,1.4,0.8751304282600822,0.45809826045916974,0.23708084412758754,0.5458937198067633,3.495183763501677,0.7317073170731707,0.7714920608794363
ERing,0,1.7,1.3073026835835393,0.6992696697579146,0.2836254305250159,0.5067264573991032,3.486760722878449,0.7906976744186046,0.8213160171334783
ERing,0,2.0,1.9958847736625516,1.0675052126907545,0.3606178930395672,0.5136363636363637,3.369292932122695,0.8181818181818182,0.8451272093596325
ERing,0,2.3,3.2369064364971187,1.703714448798469,0.4365242766302881,0.5380952380952381,3.309822731854224,0.8181818181818182,0.8451272093596325
ERing,0,2.6,5.845308394087244,2.975391962475804,0.5344102454384029,0.5947368421052631,2.8277674034722207,0.8695652173913043,0.8908422980528035
ERing,1,0.5,0.25403485082304533,0.22099725207660528,0.15244172750567375,0.9912280701754386,4.178289148095827,0.6111111111111112,0.6633249580710799
ERing,1,0.8,0.3713136458798354,0.29542148955979397,0.21589787433899887,0.9658119658119658,3.794173296944569,0.6486486486486487,0.6928203230275509
ERing,1,1.1,0.5800286456921812,0.47006221496464234,0.324589056403387,0.9658119658119658,3.4137425927553746,0.7804878048780488,0.8
ERing,1,1.4,0.8751304282600822,0.7190764714001638,0.4344011743164258,0.9495798319327731,3.2668383380843675,0.8372093023255814,0.848528137423857
ERing,1,1.7,1.3073026835835393,1.0666345887581095,0.5470487059991653,0.904,3.2326797456983893,0.9361702127659575,0.938083151964686
ERing,1,2.0,1.9958847736625516,1.5872411646898508,0.6418630615377683,0.9495798319327731,3.1116752045829283,0.9583333333333334,0.9591663046625439
ERing,1,2.3,3.2369064364971187,2.4793626576721826,0.735844230146959,0.9338842975206612,3.0880790313913327,0.9583333333333334,0.9591663046625439
ERing,1,2.6,5.845308394087244,4.352531619398252,0.8150799315434556,0.9338842975206612,3.037148083654076,0.9583333333333334,0.9591663046625439
ERing,2,0.5,0.25403485082304533,0.1651967021100629,0.14146187668205168,1.0,3.351230954858762,0.8372093023255814,0.848528137423857
ERing,2,0.8,0.3713136458798354,0.21337910361629983,0.21425613145992686,1.0,2.8476573803451632,0.9130434782608695,0.916515138991168
ERing,2,1.1,0.5800286456921812,0.36458834652258454,0.3227020553633173,0.9262295081967213,2.450411589871811,0.8888888888888888,0.8944271909999159
ERing,2,1.4,0.8751304282600822,0.5890297691845936,0.4193398285906216,0.849624060150376,2.2193992690337208,0.9361702127659575,0.938083151964686
ERing,2,1.7,1.3073026835835393,0.9022076377807541,0.5266208525358907,0.8308823529411765,2.023283210015988,0.9387755102040817,0.9553219352658034
ERing,2,2.0,1.9958847736625516,1.365606973662669,0.6375046952629594,0.8432835820895522,1.904685145365752,0.9387755102040817,0.9553219352658034
ERing,2,2.3,3.2369064364971187,2.152063808816332,0.7883042286748466,0.8828125,1.7963223483380073,0.9803921568627451,0.9959919678390986
ERing,2,2.6,5.845308394087244,3.7632567991291164,0.9264288695585237,0.9112903225806451,1.7391061913709276,0.96,0.9758688436465219
