f1,gmean,bacc,auc,dataset,seed,IR,IR_actual,n_min,n_syn,method,H,ref_energy,energy_syn,disp_ratio,accept,M
0.5151515151515151,0.7276951490047583,0.7505747126436781,0.8970689655172414,JapaneseVowels,2,20,20.6,14,275,SMOTE-raw,0.839,5.069517868115367,1.7675399791813131,0.4929377752179838,,
0.4074074074074074,0.5918022347520084,0.6609195402298851,0.8911494252873563,JapaneseVowels,2,20,20.6,14,275,KNNOR-raw (M=1),0.839,5.069517868115367,1.631452306965203,0.2622099429421136,0.9927797833935018,
0.11764705882352941,0.2573070083610708,0.5298850574712644,0.8843103448275862,JapaneseVowels,2,20,20.6,14,275,chain-mean-GPF (PSSTO-style),0.839,5.069517868115367,3.4206716875211907,0.42894046603359726,,
0.06060606060606061,0.18194353045893683,0.5132183908045977,0.8876436781609196,JapaneseVowels,2,20,20.6,14,275,KNNOR-GPF (M=1),0.839,5.069517868115367,18.412339580553017,0.13298374736727178,0.04954954954954955,1.0
0.06060606060606061,0.18194353045893683,0.5132183908045977,0.8820689655172413,JapaneseVowels,2,20,20.6,14,275,KNNOR-GPF (M=3/2),0.839,5.069517868115367,26.220680262093268,0.13111801794794553,0.04954954954954955,1.5
0.06060606060606061,0.18194353045893683,0.5132183908045977,0.9058620689655172,JapaneseVowels,2,20,20.6,14,275,KNNOR-GPF (M calibrated),0.839,5.069517868115367,19.25886301837413,0.41347304042015953,0.08293124246079614,2.0
0.8235294117647058,0.8366600265340756,0.85,0.9969540229885058,JapaneseVowels,3,5,9.3,31,258,none (raw-flat RF),0.839,2.5339466601465297,,,,
0.32558139534883723,0.4780227474989415,0.6063218390804598,0.8655747126436781,JapaneseVowels,3,5,9.3,31,258,none,0.839,2.5339466601465297,,,,
0.4175824175824176,0.7359410271226213,0.7442528735632183,0.8545402298850575,JapaneseVowels,3,5,9.3,31,258,SMOTE-raw,0.839,2.5339466601465297,0.8212036100299738,0.49312588437122157,,
0.43010752688172044,0.7535357270587925,0.7591954022988505,0.837528735632184,JapaneseVowels,3,5,9.3,31,258,KNNOR-raw (M=1),0.839,2.5339466601465297,1.1678722701492656,0.3172479500082158,1.0,
0.2978723404255319,0.4746444525345673,0.5994252873563218,0.858735632183908,JapaneseVowels,3,5,9.3,31,258,chain-mean-GPF (PSSTO-style),0.839,2.5339466601465297,1.6201973909343739,0.490603571636199,,
0.30434782608695654,0.4754912764951514,0.6011494252873564,0.8598275862068966,JapaneseVowels,3,5,9.3,31,258,KNNOR-GPF (M=1),0.839,2.5339466601465297,1.9767745858614525,0.2629005183588688,0.1913946587537092,1.0
0.2978723404255319,0.4746444525345673,0.5994252873563218,0.8598850574712643,JapaneseVowels,3,5,9.3,31,258,KNNOR-GPF (M=3/2),0.839,2.5339466601465297,2.532853783746468,0.46837872522914253,0.1532976827094474,1.5
0.3389830508474576,0.55811670184072,0.6339080459770114,0.856551724137931,JapaneseVowels,3,5,9.3,31,258,KNNOR-GPF (M calibrated),0.839,2.5339466601465297,2.807355067800721,0.7029371748591154,0.2332730560578662,2.1999999999999997
0.8235294117647058,0.8366600265340756,0.85,0.9964942528735633,JapaneseVowels,3,10,10.0,29,260,none (raw-flat RF),0.839,2.6901202779700046,,,,
0.32558139534883723,0.4780227474989415,0.6063218390804598,0.8708620689655173,JapaneseVowels,3,10,10.0,29,260,none,0.839,2.6901202779700046,,,,
0.37362637362637363,0.6933178601279603,0.707471264367816,0.8719540229885058,JapaneseVowels,3,10,10.0,29,260,SMOTE-raw,0.839,2.6901202779700046,0.8497322628188666,0.521183357293199,,
0.35555555555555557,0.6726171222199508,0.6908045977011494,0.8279885057471266,JapaneseVowels,3,10,10.0,29,260,KNNOR-raw (M=1),0.839,2.6901202779700046,1.5209453774134118,0.3333405960129452,1.0,
0.32,0.5056008147818256,0.6126436781609196,0.8535632183908045,JapaneseVowels,3,10,10.0,29,260,chain-mean-GPF (PSSTO-style),0.839,2.6901202779700046,1.8060229345416072,0.48406282613868234,,
0.35555555555555557,0.5101273223985079,0.621264367816092,0.8474712643678161,JapaneseVowels,3,10,10.0,29,260,KNNOR-GPF (M=1),0.839,2.6901202779700046,2.0942136440823607,0.22078129567992938,0.1343669250645995,1.0
0.3137254901960784,0.5046906415599173,0.610919540229885,0.8582183908045977,JapaneseVowels,3,10,10.0,29,260,KNNOR-GPF (M=3/2),0.839,2.6901202779700046,1.9863386565784875,0.33758459427207926,0.14631401238041644,1.5
0.3103448275862069,0.5294759933993296,0.6172413793103448,0.8593103448275862,JapaneseVowels,3,10,10.0,29,260,KNNOR-GPF (M calibrated),0.839,2.6901202779700046,2.671623029051622,0.4991978782550937,0.20684168655529037,2.0
0.46153846153846156,0.5477225575051661,0.65,0.9806896551724138,JapaneseVowels,3,20,20.6,14,275,none (raw-flat RF),0.839,5.184844006212863,,,,
0.0625,0.18225913092242513,0.5149425287356322,0.8476436781609196,JapaneseVowels,3,20,20.6,14,275,none,0.839,5.184844006212863,,,,
0.358974358974359,0.6418364456686031,0.674712643678161,0.8126436781609195,JapaneseVowels,3,20,20.6,14,275,SMOTE-raw,0.839,5.184844006212863,2.2000454841624553,0.48394248406557666,,
